CBSA,NAME,LSAD,metro,micro,inBuff,liminal,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,POPESTIMATE,NPOPCHG_,BIRTHS,DEATHS,NATURALINC,INTERNATIONALMIG,DOMESTICMIG,NETMIG,RESIDUAL,GQESTIMATES,RBIRTH,RDEATH,RNATURALINC,RINTERNATIONALMIG,RDOMESTICMIG,RNETMIG,RBIRTHSw,RDEATHSw,RNATURALINCw,RINTERNATIONALMIGw,RDOMESTICMIGw,RNETMIGw,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,Total_Population,Total_Male_Pop,Total_Female_Pop,Median_Age,M_Median_Age,F_Median_Age,Race_white,Race_black,Race_Am_Indian,Race_Asian,Race_Pac_Isl,Median_Income,Less_High,High_Equiv,College_Assoc_Equiv,Bachelors,Grad_Prof,Ag_For_Fish_Hunt_Mine,Construction,Manufacturing,Wholesale,Retail,Trans_Ware_Util,Information,Fin_Insur_Real,Fin_Insur,Real_Rental,Prof_Sci_Tech,Mngmt_Enter,Admin_WstMngmt,Ed_Servc,Hlthcr_Social,Arts_Entr_Rec,Accom_Food_Srvc,Other_Servc,Public_admin,Num_Total_Worker,Num_Comp_Info_Res,Num_Soft_Dev,Num_Comp_Sys_Analyst,Num_Info_Sec_Analyst,Num_Comp_Programmer,Num_Soft_Qual,Num_Web_Dev,Sal_Avg_Occ,Avg_Comp_EngSci,Avg_Mngmt_Bus_Fin,Num_Workers,Num_Worked_Home,Worked_Home_White,Worked_Home_Black,Worked_Home_NA,Worked_Home_Asian,Worked_Home_White_Not_Hispanic,Worked_Home_White_Hispanic,Education_Pop,Pop_Less_HS,Pop_HS_Grad,Pop_Some_College,Pop_Bachelors,Pop_Grad,Pop_Worked_Home,Pop_Worked_Home_1-10k,Pop_Worked_Home_10k-15k,Pop_Worked_Home_15k-25k,Pop_Worked_Home_25k-35k,Pop_Worked_Home_35k-50k,Pop_Worked_Home_50k-65k,Pop_Worked_Home_65k-75k,Pop_Worked_Home_75k-more,Median_Income_Worked_home,Pop_BS_Above,Pop_HS_Above,Pct_Less_HS,Pct_HS_Grad,Pct_Some_College,Pct_Bachelors,Pct_Grad,Pct_BS_Above,Pct_HS_Above,Tot_Bldgs,Tot_Units,Tot_Bldgs_Value
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,False,False,True,False,358.0,302.0,56.0,0.0,0.0,0.0,0.0,97.0,54.0,38.0,0.0,0.0,148.0,210.0,0.0,202635,4213,2200,1420,780,560,2833,3393,40,12239,10.9508467533,8.2927181432,2.658128609875,1.4900706662,11.5706183785,13.060689044425,10.971009108430971,7.081287697259991,3.8897214111709806,2.792620500327884,14.127667638265883,16.92028813859377,3.41,472.14,182.23,120.81,198225,95499,102726,37.2,36.425,37.8,144297,39054,404,7065,45,32889.25,19627.0,27762.25,31653.5,40577.5,54632.5,27225.0,29706.75,38174.0,43504.5,21011.0,35883.25,42289.0,36454.0,41313.25,28916.25,47748.25,101250.0,20612.25,35944.75,33262.5,21029.25,11556.25,24399.0,41464.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39209.5,59965.0,53401.0,86551,3116,2653,249,7,130,2580,137,116951.0,16173.0,30375.0,29512.0,20780.0,20111.0,3116,706,393,322,376,229,352,116,622,18158.0,40891.0,100778.0,0.13828868500483107,0.25972415798069276,0.252344999187694,0.17768125112226488,0.17196090670451727,0.34964215782678215,0.861711314995169,593.0,1159.0,183401075.0
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,True,False,True,False,365.0,140.0,209.0,14.0,2.0,0.0,0.0,172.0,89.0,55.0,0.0,4.0,127.0,234.0,0.0,5688583,93365,73732,36041,37691,18718,37043,55761,-87,84684,11.941852982786207,8.399401912786207,3.542451069982759,1.404319788175862,7.889817555613793,9.294137343817242,13.06864592879651,6.388095642594193,6.680550286202317,3.3176763751859855,6.565695371621673,9.883371746807658,7.27,376.38,167.65,116.64,5535837,2686869,2848968,37.94137931034483,36.800000000000004,38.9,3086318,1831421,16044,293771,1990,34852.24137931035,21057.931034482757,28246.793103448275,33330.10344827586,47858.34482758621,58383.55172413793,26564.96551724138,32526.310344827587,40379.1724137931,45710.793103448275,21624.758620689656,46565.24137931035,53896.275862068964,41688.724137931036,45213.58620689655,35672.793103448275,52129.75862068965,70880.42857142857,26087.379310344826,36757.89655172414,33018.1724137931,16232.25,12601.448275862069,22375.862068965518,42952.41379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42355.31034482759,71697.75862068965,63076.03448275862,2542630,152264,105183,35352,356,7145,99281,8644,3597337.0,425853.0,883924.0,997933.0,824975.0,464652.0,152157,20604,10137,15032,14615,17953,16302,7987,49527,44817.0,1289627.0,3171484.0,0.11838006836723944,0.2457162061825178,0.27740881657737376,0.22932936224768488,0.12916554662518412,0.358494908872869,0.8816199316327605,20247.0,30342.0,5318834098.0
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,False,False,True,False,360.0,313.0,45.0,2.0,0.0,0.0,0.0,122.0,57.0,37.0,0.0,0.0,322.0,38.0,0.0,270206,-2428,3010,2633,377,878,-3718,-2840,35,6221,11.089823889,9.7008326579,1.3889912313,3.2348389949,-13.69832732,-10.46348832,11.089823889175447,9.700832657873406,1.3889912313020412,3.234838994915629,-13.69832731559944,-10.463488320683812,-0.94,557.1,171.54,144.85,275376,133217,142159,40.6,38.9,42.0,184901,42859,705,22819,71,34107.0,23039.0,29543.0,33351.0,50106.0,70786.0,18977.0,40457.0,38857.0,41470.0,21045.0,46124.0,41010.0,41806.0,45837.0,37482.0,58226.0,100250.0,26242.0,47268.0,36855.0,27358.0,20454.0,25234.0,64695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43367.0,86510.0,65529.0,124851,2480,2223,123,0,69,2150,117,187414.0,28850.0,61616.0,49877.0,31830.0,15241.0,2477,445,197,162,263,191,316,184,719,44750.0,47071.0,158564.0,0.1539372725623486,0.32876946226002324,0.2661327328801477,0.1698378989830002,0.08132263331448024,0.2511605322974804,0.8460627274376514,372.0,710.0,112217951.0
12120,"Atmore, AL",Micropolitan Statistical Area,False,True,False,False,,,,,,,,,,,,,,,,37676,-73,400,472,-72,3,2,5,-6,3198,10.606562811,12.515744117,-1.909181306,0.0795492211,0.0530328141,0.1325820351,10.606562810739144,12.515744116672192,-1.909181305933046,0.07954922108054358,0.053032814053695726,0.1325820351342393,2.39,196.21,183.25,131.68,37935,19524,18411,40.3,39.4,41.1,23303,12678,1207,49,0,28989.0,16557.0,25338.0,28757.0,34339.0,55903.0,31370.0,31636.0,36430.0,41334.0,17890.0,40517.0,26658.0,26136.0,35750.0,19102.0,31635.0,,21152.0,28190.0,25876.0,22389.0,11447.0,20833.0,36109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32454.0,41923.0,49767.0,12057,127,113,14,0,0,113,0,26007.0,5240.0,10942.0,6564.0,2178.0,1083.0,127,33,38,6,11,5,20,3,11,,3261.0,20767.0,0.20148421578805706,0.420732879609336,0.25239358634213865,0.08374668358518861,0.04164263467527973,0.12538931826046834,0.7985157842119429,2.0,2.0,174028.0
12140,"Auburn, IN",Micropolitan Statistical Area,False,True,True,False,,,,,,,,,,,,,,,,42511,69,563,450,113,-7,-33,-40,-4,615,13.25438772,10.594093204,2.6602945158,-0.164797005,-0.776900168,-0.941697174,13.254387720268854,10.59409320447777,2.6602945157910844,-0.16479700540298756,-0.7769001683283697,-0.9416971737313573,3.56,197.57,177.42,111.29,42449,21132,21317,38.6,38.0,39.4,41135,110,30,192,0,31833.0,25641.0,30538.0,31696.0,42121.0,52200.0,30635.0,37868.0,37948.0,32273.0,17407.0,46750.0,11174.0,38466.0,44833.0,23910.0,35648.0,,23210.0,34787.0,26452.0,14435.0,7115.0,23153.0,35778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39930.0,57326.0,60750.0,19209,450,448,0,0,0,448,0,28125.0,3352.0,11406.0,8573.0,3220.0,1574.0,450,106,96,19,62,28,40,0,99,,4794.0,24773.0,0.11918222222222222,0.40554666666666667,0.3048177777777778,0.11448888888888889,0.05596444444444444,0.17045333333333335,0.8808177777777778,94.0,98.0,19333187.0
12180,"Auburn, NY",Micropolitan Statistical Area,False,True,True,True,,,,,,,,,,,,,,,,78323,-459,781,793,-12,58,-507,-449,2,4054,9.9423952134,10.095159288,-0.152764075,0.7383596957,-6.454282168,-5.715922472,9.942395213392317,10.095159288374017,-0.15276407498170014,0.7383596957448839,-6.454282167976831,-5.715922472231947,2.0,254.29,171.81,155.27,79173,40576,38597,42.5,41.2,44.0,73064,3448,302,339,0,35640.0,21575.0,30950.0,35004.0,46968.0,57635.0,26883.0,36533.0,41911.0,43285.0,18958.0,47237.0,31071.0,37596.0,46719.0,30305.0,42143.0,,23833.0,41709.0,30986.0,12241.0,11342.0,20552.0,56351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43301.0,71250.0,58803.0,36043,1481,1307,136,0,3,1243,81,55593.0,6837.0,18934.0,17938.0,6975.0,4909.0,1481,475,165,197,147,229,83,51,134,,11884.0,48756.0,0.122983109384275,0.34058244743043187,0.3226665227636573,0.12546543629593654,0.08830248412569928,0.2137679204216358,0.877016890615725,94.0,108.0,17052168.0
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,False,False,True,False,,,,,,,,,,,,,,,,157162,2480,1913,1094,819,538,1121,1659,2,4954,12.26895499,7.0163286772,5.2526263132,3.4504431703,7.189492182,10.639935352,12.26895499031567,7.016328677159092,5.252626313156578,3.4504431703031004,7.18949218198843,10.63993535229153,2.6,342.12,179.56,127.57,150982,74277,76705,30.3,29.2,31.7,105518,35095,231,4947,26,35733.0,18157.0,26478.0,32916.0,43858.0,56018.0,21952.0,32234.0,35189.0,50106.0,20952.0,44085.0,25531.0,36107.0,40549.0,31056.0,42098.0,,22103.0,35282.0,35074.0,11831.0,10081.0,21440.0,46052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41183.0,61795.0,53278.0,67963,2099,1921,161,7,10,1809,112,87947.0,10048.0,22389.0,25585.0,17110.0,12815.0,2099,402,211,267,285,277,126,98,433,30655.0,29925.0,77899.0,0.11425062821926843,0.25457377738865455,0.2909138458389712,0.1945489897324525,0.14571275882065335,0.34026174855310587,0.8857493717807315,832.0,838.0,240681001.0
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,False,False,True,False,365.0,275.0,89.0,1.0,0.0,0.0,0.0,105.0,58.0,41.0,0.0,0.0,225.0,140.0,0.0,590080,6619,7460,5257,2203,1042,3364,4406,10,18150,11.978106207114285,9.654789051314285,2.3233171556000003,0.9811876464714286,4.798840974,5.780028620457143,12.713658917754046,8.959209776224265,3.7544491415297805,1.7758220633109538,5.7330762197486065,7.508898283059561,2.36,307.63,155.73,127.7,580178,282466,297712,39.18571428571429,37.81428571428571,40.44285714285714,339550,206338,1523,10346,532,31805.666666666668,20610.333333333332,25399.833333333332,31904.166666666668,47623.0,57605.333333333336,24212.428571428572,33045.71428571428,39236.28571428572,30327.428571428572,19689.14285714286,49277.42857142857,33971.142857142855,34660.57142857143,36568.28571428572,31469.428571428572,49951.42857142857,,20912.833333333332,32912.57142857143,31956.14285714286,13037.8,10917.0,21260.85714285714,39371.142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38535.0,76667.71428571429,61635.0,241189,5620,4276,1159,4,61,4166,175,384038.0,56531.0,116820.0,116897.0,58234.0,35556.0,5611,1221,567,812,594,632,533,254,998,21817.0,93790.0,327507.0,0.14720157901041042,0.30418864799837514,0.3043891489904645,0.15163603601726913,0.0925845879834808,0.24422062400074993,0.8527984209895896,2692.0,3035.0,509231892.0
12300,"Augusta-Waterville, ME",Micropolitan Statistical Area,False,False,True,False,237.0,223.0,14.0,0.0,0.0,0.0,0.0,93.0,47.0,35.0,0.0,0.0,208.0,20.0,9.0,121063,-214,1246,1335,-89,29,-138,-109,-16,3597,10.283073368,11.017578609,-0.734505241,0.2393331683,-1.138895766,-0.899562598,10.28307336799538,11.017578608566478,-0.7345052405710984,0.23933316827597592,-1.138895766278782,-0.8995625980028059,1.32,224.8,148.51,142.97,121112,58759,62353,44.0,43.2,44.6,116275,957,827,934,15,32918.0,23527.0,27717.0,31274.0,42044.0,54180.0,27935.0,33052.0,46220.0,36504.0,21257.0,41239.0,39500.0,33896.0,37022.0,23738.0,42451.0,,21051.0,33883.0,33344.0,16650.0,15142.0,23447.0,44134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40457.0,62254.0,55078.0,56542,2403,2379,0,0,24,2368,11,86458.0,7373.0,30819.0,26618.0,13245.0,8403.0,2403,616,162,353,283,358,326,83,222,26388.0,21648.0,79085.0,0.08527840107335354,0.3564620972032663,0.30787203034999655,0.15319577135719079,0.09719170001619283,0.25038747137338363,0.9147215989266465,170.0,203.0,30383831.0
12380,"Austin, MN",Micropolitan Statistical Area,False,True,True,True,,,,,,,,,,,,,,,,39497,82,531,373,158,242,-318,-76,0,632,13.458029197,9.453568532,4.004460665,6.1334144363,-8.059610706,-1.926196269,13.458029197080291,9.453568532035685,4.004460665044607,6.133414436334144,-8.059610705596107,-1.9261962692619627,3.0,294.19,184.2,115.43,39227,19579,19648,39.0,37.7,40.8,36174,1186,52,794,50,34295.0,29732.0,30978.0,33295.0,47150.0,59477.0,30598.0,40808.0,36246.0,36125.0,18743.0,51567.0,24211.0,35464.0,37778.0,18674.0,31910.0,105313.0,21268.0,34559.0,29898.0,8031.0,10487.0,17214.0,47961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40275.0,61250.0,54600.0,18706,744,744,0,0,0,742,2,25970.0,3114.0,8461.0,9453.0,3571.0,1371.0,744,136,67,146,70,106,99,43,77,30000.0,4942.0,22856.0,0.11990758567577975,0.32579899884482094,0.363996919522526,0.13750481324605313,0.05279168271082018,0.1902964959568733,0.8800924143242203,37.0,38.0,6606576.0
