CBSA,NAME,LSAD,metro,micro,inBuff,commuteBuffCount,workingPop,commutePercent,liminal,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,POPESTIMATE,NPOPCHG_,BIRTHS,DEATHS,NATURALINC,INTERNATIONALMIG,DOMESTICMIG,NETMIG,RESIDUAL,GQESTIMATES,RBIRTH,RDEATH,RNATURALINC,RINTERNATIONALMIG,RDOMESTICMIG,RNETMIG,RBIRTHSw,RDEATHSw,RNATURALINCw,RINTERNATIONALMIGw,RDOMESTICMIGw,RNETMIGw,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,Total_Population,Total_Male_Pop,Total_Female_Pop,Median_Age,M_Median_Age,F_Median_Age,Race_white,Race_black,Race_Am_Indian,Race_Asian,Race_Pac_Isl,Median_Income,Less_High,High_Equiv,College_Assoc_Equiv,Bachelors,Grad_Prof,Ag_For_Fish_Hunt_Mine,Construction,Manufacturing,Wholesale,Retail,Trans_Ware_Util,Information,Fin_Insur_Real,Fin_Insur,Real_Rental,Prof_Sci_Tech,Mngmt_Enter,Admin_WstMngmt,Ed_Servc,Hlthcr_Social,Arts_Entr_Rec,Accom_Food_Srvc,Other_Servc,Public_admin,Num_Total_Worker,Num_Comp_Info_Res,Num_Soft_Dev,Num_Comp_Sys_Analyst,Num_Info_Sec_Analyst,Num_Comp_Programmer,Num_Soft_Qual,Num_Web_Dev,Sal_Avg_Occ,Avg_Comp_EngSci,Avg_Mngmt_Bus_Fin,Num_Workers,Num_Worked_Home,Worked_Home_White,Worked_Home_Black,Worked_Home_NA,Worked_Home_Asian,Worked_Home_White_Not_Hispanic,Worked_Home_White_Hispanic,Education_Pop,Pop_Less_HS,Pop_HS_Grad,Pop_Some_College,Pop_Bachelors,Pop_Grad,Pop_Worked_Home,Pop_Worked_Home_1-10k,Pop_Worked_Home_10k-15k,Pop_Worked_Home_15k-25k,Pop_Worked_Home_25k-35k,Pop_Worked_Home_35k-50k,Pop_Worked_Home_50k-65k,Pop_Worked_Home_65k-75k,Pop_Worked_Home_75k-more,Median_Income_Worked_home,Pop_BS_Above,Pop_HS_Above,Pct_Less_HS,Pct_HS_Grad,Pct_Some_College,Pct_Bachelors,Pct_Grad,Pct_BS_Above,Pct_HS_Above,Tot_Bldgs,Tot_Units,Tot_Bldgs_Value
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,False,False,True,21008.0,80835.0,25.988742500154636,False,365.0,245.0,120.0,0.0,0.0,0.0,0.0,87.0,61.0,44.0,0.0,0.0,136.0,229.0,0.0,213681.0,2315.0,2142.0,1514.0,628.0,260.0,1431.0,1691.0,-4.0,11023.0,10.078885393958952,7.123918060807567,2.954967332994349,1.2233941187434234,6.733373015258228,7.956767134001651,10.078885393850562,7.123918060826215,2.954967333024348,1.2233941187680422,6.7333730152194935,7.956767133987537,99705.00740484429,32346.425743944637,219978,42682,14450,7.56,629.92,243.13,161.18,208457,100687,107770,37.975,37.275,38.875,150126,42940,309,6438,109,37283.25,24717.5,29234.5,34131.25,45840.75,56665.0,33175.75,37635.5,45672.0,48287.5,24374.5,39778.25,30792.0,44587.75,48744.0,34049.0,49597.0,,25727.25,39945.5,38450.75,19520.5,12644.5,24299.75,48092.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44307.5,66085.5,58871.0,97111,5441,4847,402,0,79,4737,156,126504.0,15408.0,31026.0,30282.0,25183.0,24605.0,5441,1005,452,469,726,707,590,138,1354,37412.25,49788.0,111096.0,0.1217985202048947,0.24525706697021438,0.23937583001328022,0.19906880414848543,0.1944997786631253,0.3935685828116107,0.8782014797951053,947.0,1591.0,260581038.0
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,True,False,True,2412279.0,2590292.0,93.12768599061418,False,365.0,162.0,184.0,18.0,1.0,0.0,0.0,172.0,87.0,52.0,0.0,9.0,171.0,185.0,0.0,6027231.0,75837.0,70896.0,40402.0,30494.0,13551.0,31762.0,45313.0,30.0,87582.0,11.837084807289191,6.745682413456597,5.091402393846887,2.2625301318144326,5.303112836465975,7.5656429682134005,11.837084807313026,6.745682413465652,5.091402393847374,2.262530131797264,5.303112836406516,7.565642968203779,136218.1650645539,60781.89832739073,3278962,1872404,564567,5.98,494.7,220.36,153.31,5862424,2834134,3028290,38.751724137931035,37.49655172413794,39.91379310344828,3131418,2004824,23463,343760,2527,40038.96551724138,24261.55172413793,32260.793103448275,37743.137931034486,53059.55172413793,63668.51724137931,39961.07142857143,38537.620689655174,44364.0,48685.44827586207,24915.41379310345,50085.10344827586,59115.53571428572,47453.10344827586,50163.96551724138,41348.206896551725,54568.51724137931,75105.375,30702.55172413793,40116.206896551725,35999.24137931035,23297.241379310344,14017.931034482759,25789.41379310345,48009.51724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46248.34482758621,72598.89655172414,68527.06896551725,2857053,210157,132817,58653,354,10409,124525,12711,3878266.0,403985.0,927197.0,1050731.0,930303.0,566050.0,210064,21629,11715,20095,18842,25139,23887,10087,78670,46794.89655172414,1496353.0,3474281.0,0.1041663980758411,0.23907514337593141,0.27092803845842445,0.23987601675594197,0.14595440333386106,0.385830420089803,0.8958336019241588,26484.0,32836.0,6783501702.0
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,False,False,True,27041.0,123380.0,21.916842275895608,False,365.0,328.0,36.0,1.0,0.0,0.0,0.0,105.0,51.0,37.0,0.0,0.0,262.0,103.0,0.0,263653.0,-341.0,2747.0,2895.0,-148.0,310.0,-508.0,-198.0,5.0,5990.0,10.41226426,10.97324537,-0.56098111,1.1750280017,-1.925529758,-0.750501756,10.412264260007165,10.973245370484435,-0.5609811104772698,1.1750280016753627,-1.9255297575841424,-0.7505017559087799,149810.28179817667,16282.151964790946,109425,49506,15905,5.14,600.95,185.04,156.25,266105,128791,137314,41.7,40.1,43.0,174978,38907,1078,21006,146,37938.0,23968.0,31022.0,36672.0,54851.0,78906.0,30500.0,44470.0,45238.0,48426.0,22910.0,42353.0,52027.0,48405.0,57913.0,37674.0,59764.0,70500.0,26668.0,51584.0,39633.0,31834.0,22503.0,26057.0,69019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48183.0,90905.0,71859.0,124793,3963,3332,305,0,163,3190,250,184676.0,24010.0,59017.0,49700.0,34305.0,17644.0,3963,578,226,388,437,187,575,203,1369,53444.0,51949.0,160666.0,0.13001147956420975,0.31957049102211443,0.26911997227576945,0.18575775953561913,0.09554029760228724,0.2812980571379064,0.8699885204357902,421.0,957.0,147760556.0
12120,"Atmore, AL",Micropolitan Statistical Area,False,True,False,0.0,12416.0,0.0,False,,,,,,,,,,,,,,,,36569.0,54.0,421.0,452.0,-31.0,-1.0,87.0,86.0,-1.0,2394.0,11.520989546,12.369328444,-0.848338898,-0.027365771,2.3808220678,2.3534562969,11.52098954627552,12.369328443982267,-0.8483388977067484,-0.02736577089376608,2.3808220677576486,2.353456296863883,52235.20503330866,15657.577350111029,127323,4144,1351,2.26,223.48,208.72,149.99,37057,18856,18201,40.0,38.3,41.2,23053,11878,1479,102,55,31524.0,25404.0,27273.0,30672.0,44306.0,53443.0,40876.0,35604.0,35531.0,35417.0,21738.0,42235.0,53281.0,30938.0,39643.0,19489.0,32330.0,,25079.0,31556.0,32047.0,22661.0,12401.0,17143.0,42123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36471.0,73281.0,45898.0,12649,132,117,8,0,7,117,0,25859.0,4878.0,11308.0,6449.0,2112.0,1112.0,132,23,17,35,5,0,20,0,32,23875.0,3224.0,20981.0,0.1886383850883638,0.4372945589543292,0.24939092772342317,0.08167369194477744,0.043002436289106306,0.12467612823388376,0.8113616149116362,7.0,7.0,913718.0
12140,"Auburn, IN",Micropolitan Statistical Area,False,True,True,728.0,20907.0,3.4820873391686997,False,,,,,,,,,,,,,,,,43561.0,330.0,554.0,409.0,145.0,-3.0,189.0,186.0,-1.0,615.0,12.766153563,9.4248317817,3.3413217808,-0.069130795,4.3552401143,4.2861093188,12.766153562540326,9.424831781731037,3.341321780809291,-0.06913079546501982,4.355240114296248,4.286109318831229,59101.14106463878,16665.96349809886,87300,8956,2630,4.49,238.71,214.36,134.47,42927,21411,21516,39.1,37.9,40.1,41724,300,20,177,0,37305.0,37750.0,32903.0,37657.0,38776.0,65147.0,17171.0,42552.0,43408.0,33580.0,22195.0,49205.0,25568.0,35806.0,41103.0,31194.0,34063.0,,38326.0,27863.0,29918.0,13413.0,9231.0,22315.0,41652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42901.0,60781.0,63750.0,21207,578,578,0,0,0,578,0,28949.0,2827.0,12221.0,8680.0,3713.0,1508.0,578,125,69,114,17,56,32,33,132,19662.0,5221.0,26122.0,0.09765449583750734,0.42215620574113094,0.2998376455145255,0.1282600435248195,0.05209160938201665,0.18035165290683616,0.9023455041624927,150.0,150.0,40380811.0
12180,"Auburn, NY",Micropolitan Statistical Area,False,True,True,2834.0,34974.0,8.103162349173672,True,,,,,,,,,,,,,,,,76450.0,-671.0,707.0,790.0,-83.0,32.0,-620.0,-588.0,0.0,3763.0,9.2074675557,10.288400805,-1.080933249,0.4167453491,-8.074441138,-7.657695789000001,9.207467555723412,10.288400804839455,-1.0809332491160442,0.41674534905678806,-8.074441137975269,-7.657695788918481,86135.76774874637,38306.53496964899,114414,11379,3789,4.25,280.79,189.72,171.45,77425,39757,37668,42.9,40.9,44.8,71056,3303,106,441,5,39859.0,27266.0,32997.0,38722.0,51351.0,65960.0,31884.0,40677.0,47008.0,44866.0,22076.0,47019.0,30208.0,42969.0,50856.0,29438.0,49464.0,,23948.0,43694.0,36865.0,14659.0,14569.0,21592.0,63809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47517.0,67423.0,61750.0,35549,1443,1297,78,0,4,1279,54,55436.0,6772.0,18436.0,17705.0,7686.0,4837.0,1443,326,89,166,160,301,114,35,252,32091.0,12523.0,48664.0,0.12215888592250523,0.33256367703297496,0.3193772999494913,0.1386463669817447,0.0872537701132838,0.2259001370950285,0.8778411140774948,120.0,120.0,20395932.0
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,False,False,True,1899.0,47458.0,4.001432845884782,False,,,,,,,,,,,,,,,,165015.0,809.0,1791.0,1202.0,589.0,299.0,-84.0,215.0,5.0,4960.0,10.88022939,7.302085832899999,3.5781435571,1.8164090382999998,-0.510295516,1.3061135225,10.880229389984235,7.302085832920744,3.5781435570634925,1.816409038305576,-0.5102955157781551,1.306113522527421,93427.50123976257,39107.33578781276,125344,43039,13309,4.92,412.66,216.58,153.87,161152,79453,81699,31.9,30.4,33.2,113359,36920,296,6899,23,38111.0,17898.0,30170.0,33387.0,45878.0,57916.0,37639.0,32563.0,40113.0,42112.0,21779.0,50830.0,31949.0,45278.0,46319.0,41875.0,43417.0,,20515.0,35502.0,35847.0,11336.0,12189.0,18387.0,45810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43613.0,63524.0,59216.0,73873,2944,2626,267,0,13,2505,121,97055.0,8849.0,23026.0,30907.0,19015.0,15258.0,2944,610,211,273,384,352,309,197,608,34706.0,34273.0,88206.0,0.09117510689815053,0.23724692184843646,0.3184483025088867,0.19591983926639533,0.15720982947813095,0.3531296687445263,0.9088248931018494,1194.0,2091.0,481435852.0
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,False,False,True,19318.0,198696.0,9.72238998268712,False,365.0,231.0,132.0,2.0,0.0,0.0,0.0,101.0,64.0,45.0,0.0,0.0,161.0,204.0,0.0,610200.0,4947.0,7265.0,5824.0,1441.0,436.0,3068.0,3504.0,2.0,19297.0,11.954390667511655,9.583258258620923,2.3711324089291224,0.7174279877409633,5.048323546896933,5.765751534660213,11.954390667512442,9.583258258443559,2.371132409068882,0.7174279877543599,5.048323546858661,5.765751534613021,110116.07013259814,44357.25088617566,714809,128158,38085,4.82,365.1,184.82,151.55,599616,291193,308423,39.58571428571429,38.371428571428574,41.08571428571429,349266,212404,1619,11476,792,33944.0,22363.571428571428,29596.85714285714,34462.57142857143,48552.28571428572,56626.857142857145,29492.285714285714,33995.857142857145,38577.42857142857,32907.28571428572,20757.571428571428,65315.142857142855,44687.666666666664,40947.71428571428,42299.28571428572,40227.2,48849.0,,23459.0,35203.71428571428,33176.857142857145,14497.857142857143,12506.0,24109.428571428572,45166.142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40437.142857142855,70061.71428571429,67612.57142857143,258693,7999,6065,1553,0,197,5543,582,404405.0,52062.0,124953.0,123430.0,65143.0,38817.0,7999,1406,807,1295,943,696,949,321,1582,29987.714285714286,103960.0,352343.0,0.12873728069633164,0.30897985929946464,0.30521383266774643,0.16108356721603342,0.09598546012042383,0.25706902733645726,0.8712627193036684,2726.0,3201.0,579897345.0
12300,"Augusta-Waterville, ME",Micropolitan Statistical Area,False,False,True,0.0,54280.0,0.0,False,361.0,356.0,5.0,0.0,0.0,0.0,0.0,67.0,44.0,28.0,0.0,129.0,211.0,21.0,0.0,122241.0,155.0,1156.0,1385.0,-229.0,84.0,299.0,383.0,1.0,3745.0,9.462728229,11.337265222,-1.8745369929999998,0.6876030893,2.4475395679,3.1351426572,9.46272822897183,11.337265222427321,-1.874536993455492,0.6876030893024513,2.4475395678742013,3.1351426571766527,78949.0313170855,11002.565096603106,144552,23731,7919,3.68,259.69,171.57,165.17,121753,59400,62353,44.4,43.1,45.5,116530,1039,661,1108,85,38611.0,23921.0,31022.0,36302.0,44978.0,63256.0,23309.0,38172.0,49465.0,41975.0,22799.0,49925.0,39688.0,40488.0,42750.0,26328.0,53255.0,,21752.0,39125.0,36743.0,19167.0,15063.0,26356.0,49827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44386.0,72936.0,61121.0,58527,2984,2899,0,1,49,2859,48,87875.0,6569.0,28732.0,27925.0,15073.0,9576.0,2984,734,219,339,277,487,310,157,461,31371.0,24649.0,81306.0,0.07475391180654338,0.32696443812233283,0.3177809388335704,0.17152773826458037,0.10897297297297297,0.2805007112375533,0.9252460881934567,288.0,303.0,63336956.0
12380,"Austin, MN",Micropolitan Statistical Area,False,True,True,1995.0,19143.0,10.42156401817897,True,,,,,,,,,,,,,,,,40040.0,-82.0,561.0,409.0,152.0,125.0,-360.0,-235.0,1.0,632.0,13.99665677,10.204336219,3.7923205509000004,3.1186846636,-8.981811831,-5.863127167,13.996656770040667,10.20433621915621,3.7923205508844586,3.1186846635562984,-8.981811831042139,-5.863127167485842,70648.94638583054,11670.301101005265,45023,7524,2089,3.95,352.81,220.9,138.43,39807,20058,19749,38.8,37.6,40.1,34533,1570,54,1468,248,37652.0,27241.0,32180.0,39398.0,48425.0,59830.0,26087.0,37214.0,40995.0,51678.0,23845.0,46563.0,38654.0,39324.0,38250.0,40284.0,38380.0,25417.0,20149.0,39924.0,33292.0,20700.0,15532.0,31172.0,52434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42596.0,65625.0,58032.0,18855,640,580,31,0,24,574,10,26837.0,3317.0,8581.0,8987.0,3943.0,2009.0,640,147,32,48,79,121,82,24,107,36250.0,5952.0,23520.0,0.12359801766218281,0.3197451279949324,0.3348734955471923,0.1469240228043373,0.07485933599135522,0.22178335879569253,0.8764019823378172,38.0,119.0,24904108.0
