CBSA,NAME,LSAD,metro,micro,inBuff,commuteBuffCount,workingPop,commutePercent,liminal,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,False,False,True,20168.0,78919.0,25.55531621029156,False,129484.62492806997,34063.3296121533,279044,54472,17378
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,True,False,True,2346403.0,2517685.0,93.19684551482811,False,163152.96747530354,70054.83345500704,3252841,2289004,608184
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,False,False,True,24765.0,106316.0,23.293765754919296,False,170279.04712734974,19645.113370399788,102720,68998,18885
12120,"Atmore, AL",Micropolitan Statistical Area,False,True,False,0.0,11212.0,0.0,False,76250.21986258589,13761.80886945659,129508,4691,1601
12140,"Auburn, IN",Micropolitan Statistical Area,False,True,True,624.0,20137.0,3.0987734021949644,False,94066.43563184373,30009.955608168097,104734,11349,3379
12180,"Auburn, NY",Micropolitan Statistical Area,False,True,True,2720.0,32512.0,8.366141732283465,True,119945.913772037,38333.46482806773,107433,17023,5729
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,False,False,True,2128.0,47575.0,4.47293746715712,False,113623.38980230314,46185.05345137456,152553,54456,15023
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,False,False,True,18510.0,192764.0,9.602415388765536,False,125679.12290839052,49143.7047309498,723784,144022,41535
12300,"Augusta-Waterville, ME",Micropolitan Statistical Area,False,False,True,0.0,51792.0,0.0,False,105009.24112082813,12271.701856148491,167381,35767,11206
12380,"Austin, MN",Micropolitan Statistical Area,False,True,True,1695.0,18380.0,9.221980413492927,True,91123.9874411303,14172.427629513344,54417,12454,3185
12420,"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area,True,False,True,912231.0,1020812.0,89.3632715916349,False,176679.49589368515,64442.787791514034,1952709,1149921,320482
12460,"Bainbridge, GA",Micropolitan Statistical Area,False,True,False,0.0,8734.0,0.0,False,57406.007905138336,11919.530632411068,83903,3293,1012
12540,"Bakersfield, CA",Metropolitan Statistical Area,False,False,True,57106.0,299927.0,19.03996639182201,False,133361.87495306486,32059.156646015206,606975,286721,85224
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,True,False,True,1152094.0,1170179.0,98.45450995104169,False,159351.63368821153,72730.61162671981,1016208,607677,162591
12620,"Bangor, ME",Metropolitan Statistical Area,False,False,False,0.0,62702.0,0.0,False,100624.47672307357,18042.27881472874,190258,43257,13769
