,CBSA,commuteBuffCount,workingPop,commutePercent,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,POPESTIMATE,NPOPCHG_,BIRTHS,DEATHS,NATURALINC,INTERNATIONALMIG,DOMESTICMIG,NETMIG,RESIDUAL,GQESTIMATES,RBIRTH,RDEATH,RNATURALINC,RINTERNATIONALMIG,RDOMESTICMIG,RNETMIG,RBIRTHSw,RDEATHSw,RNATURALINCw,RINTERNATIONALMIGw,RDOMESTICMIGw,RNETMIGw,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,Total_Population,Total_Male_Pop,Total_Female_Pop,Median_Age,M_Median_Age,F_Median_Age,Race_white,Race_black,Race_Am_Indian,Race_Asian,Race_Pac_Isl,Median_Income,Less_High,High_Equiv,College_Assoc_Equiv,Bachelors,Grad_Prof,Ag_For_Fish_Hunt_Mine,Construction,Manufacturing,Wholesale,Retail,Trans_Ware_Util,Information,Fin_Insur_Real,Fin_Insur,Real_Rental,Prof_Sci_Tech,Mngmt_Enter,Admin_WstMngmt,Ed_Servc,Hlthcr_Social,Arts_Entr_Rec,Accom_Food_Srvc,Other_Servc,Public_admin,Num_Total_Worker,Num_Comp_Info_Res,Num_Soft_Dev,Num_Comp_Sys_Analyst,Num_Info_Sec_Analyst,Num_Comp_Programmer,Num_Soft_Qual,Num_Web_Dev,Sal_Avg_Occ,Avg_Comp_EngSci,Avg_Mngmt_Bus_Fin,Education_Pop,Less_High_pct,High_Equiv_pct,College_Assoc_Equiv_pct,Bachelors_pct,Grad_Prof_pct,Bach_and_Above_pct,Computer_Total
CBSA,1.0,0.015895482832501077,0.010899896464988991,0.060232080270812116,0.007252771923462335,0.01479521426149198,-0.01031616484272717,-0.007022298307245591,0.016357871700107815,0.046641196154982106,-0.007469444039185154,-0.0018648757100104476,0.0047835618840252865,0.013943932982522321,0.0018813051614045906,0.005912119496489937,0.06577257913630653,-0.08792681724024816,0.04872574566380471,0.0142735164406496,-0.012248408055374253,0.01367642669872652,0.01683712311799134,0.007272017618434132,0.012935959304362258,-0.019574304001402025,-0.01690977920460197,-0.041776684922967634,0.017084185019523117,0.02322824224541351,0.00043830144614302247,0.013459738351302748,-0.017090919647681228,-0.021919301127734863,-0.024083574697675997,0.021013472393082343,0.0038418099003061446,0.009725553919368453,-0.023767362899206567,-0.018594139477159703,-0.0220364613728387,0.024085175762750655,-0.007555293959902484,-0.009787366831548159,0.012174246405979952,0.01220557374760574,0.01538900257432664,0.07986797484709997,-0.000710750012375093,0.0390062064938148,0.01444704674437322,0.014814721527160086,0.014093850601713127,0.003623538367033992,0.004502216738365957,0.003071896059831265,0.011360837915029275,-0.013487720156839534,0.03357584446234904,0.03962910900907225,0.0776690649842529,-0.005483806047131585,-0.008909994137614563,-0.008728293129663037,-0.005199476155101772,-0.009017404291519461,-0.004571313480597214,-0.030538470382731983,-0.007009642334667048,-0.030361969287760283,-0.012909392887985123,-0.0015044422341788828,-0.04002252559534756,0.007217802614469909,-0.0021404418607895996,-0.01742004931221319,-0.014813085023625773,-0.03446983890439587,-0.048972814963556544,-0.008804717460507889,0.012956709694223691,0.012628163731252725,-0.000242138130855237,-0.03558603401903699,-0.03933185355633895,0.022491387010200176,,,,,,,,,0.005844136423110038,0.00012331645361097015,0.019071076319969186,-0.006928427921236771,0.02252976522719865,0.016579061624555844,0.024820775492429423,-0.016927482242542796,-0.02345833986232433,-0.032366701606489016,
commuteBuffCount,0.015895482832501077,1.0,0.9910127206410224,0.6145066733065299,0.11597863385494256,-0.27618305015369665,0.44656963511363174,0.406879290267244,0.29178574175078126,0.20225717365824536,0.09565214564320708,0.24379353604228785,0.43594959337491823,0.3566766343229469,-0.01241585894612131,0.32087531188092455,-0.001990939400013761,0.05051521717279623,-0.017407798295923222,0.9883913450489381,0.21026917909877213,0.9848070685627376,0.9732978636405291,0.9244195461705244,0.8016322459669759,-0.5722750437982775,-0.32244939176582305,-0.18690543522356784,0.9365487636629943,-0.011759693024339393,-0.1601953456820428,0.09926281743977575,0.11603746233309287,0.039514668629272345,0.05353067107020906,0.016607759733131,-0.18433555722181239,0.1299703060019838,0.18482322966308334,-0.020027363926223053,0.005530389721258859,0.2764091194470379,0.24920771379341228,0.7340489041494344,0.9652399798193025,0.9669604774098665,-0.019361551056386626,0.32242024205532643,0.054524843453794145,0.1557226263053223,0.9887224733477225,0.9887506034325236,0.988563462116609,-0.031248849690252198,-0.026766519098184543,-0.037523701210268684,0.9746934660760244,0.8856571308668691,0.6118073291494909,0.8947260615913671,0.3685897253387296,0.3045051330094952,0.5994436350138308,0.6080913966479568,0.6226220830808665,0.6456875947338322,0.6590679342975219,-0.003129024513944038,0.15216195715167705,0.24052352516550324,0.1567110285674047,0.18285593444396117,0.039915800266641675,0.2697782524028664,0.34022842135198,0.3143506092177806,0.1800145225490219,0.2647399214699767,0.11387729269865052,0.16827266936612892,0.214432281783931,0.252054251765795,0.09257253279113271,0.15702404898094774,0.10695305278172358,0.28052501043352307,,,,,,,,,0.3066486268813925,0.2515731440964724,0.3358883336197899,0.6371853203077463,-0.108347782281806,-0.1608702185874497,-0.034147797806632865,0.1035062056440178,0.0964508551766445,0.1543555777190708,
workingPop,0.010899896464988991,0.9910127206410224,1.0,0.6064528131681214,0.14412307621760434,-0.2723070937052051,0.47805711496186915,0.41731513658668223,0.291032067251853,0.1972999099283015,0.08802617711421547,0.2508818469632922,0.4626205742393996,0.3893280775699964,-0.01037004919416854,0.323837438777306,0.013044538312773753,0.05947547145277613,-0.031928314690520015,0.9979159922486806,0.23201990263005517,0.9939551878494474,0.9858575402661718,0.9271091471346642,0.8005031572029186,-0.5533320834455767,-0.3014605409996516,-0.16743625723601205,0.9512548318681849,-0.01991675739203666,-0.18297186430104279,0.10953701435322845,0.12039497393223814,0.05663780790122034,0.07127717935871705,0.01647177712361983,-0.21340789165881763,0.14886451530630568,0.19421135690940042,-0.0043055513609539095,0.022673542851328228,0.3243262209290777,0.27727067332951777,0.7732077301810963,0.9737049453098473,0.9759846262023458,-0.015907934702637454,0.3658143166433846,0.04628964185046163,0.16166841544982277,0.997945488775011,0.998066071940146,0.9976969180641907,-0.03289540982099943,-0.02775390106217936,-0.0407550481394469,0.9896285248840658,0.8901462546268436,0.616636246845981,0.8896826369356076,0.37004986973951365,0.33526517073170226,0.62701317514928,0.6355734555419116,0.6497157550980153,0.6723855223485257,0.6851332812225497,-0.014130866411688446,0.167448324951529,0.267328074377172,0.1726766145663006,0.2004314615349236,0.04706206616853494,0.28999430096209744,0.3778993390627481,0.3456276051820821,0.20172507659779162,0.29783023373059186,0.12392811033699999,0.18445997889442037,0.23593947525750936,0.28169952540910487,0.09328533755115677,0.17036691849871113,0.1265400672974063,0.3121280565350944,,,,,,,,,0.3382485742420724,0.2808239818464523,0.37207915853747425,0.6640702775630236,-0.1234736276142604,-0.18155637012384737,-0.03561791621984916,0.12052567432269495,0.10587770700299262,0.17377361044072234,
commutePercent,0.060232080270812116,0.6145066733065299,0.6064528131681214,1.0,0.17395417118983872,-0.24533553507428327,0.5007332351737248,0.3469861599944876,0.1740568511129527,0.1606197718755159,0.07774561194155921,0.2416092670448694,0.4374083040741136,0.4022200578997421,-0.03403744442374722,0.22740965512094577,0.08160187609609856,0.00719821028439722,-0.008299866643331882,0.6062207396390693,0.3873273589428921,0.6020212886115915,0.6180551922046522,0.5264372469558894,0.4652244176321121,-0.08371715412242549,0.09410774060684518,0.04618425383447897,0.5923222509488528,-0.05935354869596735,-0.11463314895424308,0.040876878702389666,0.05922729566439369,0.15577689749974946,0.16377223782944864,-0.03032020417961224,-0.14451547933869782,0.07666394706181344,0.13424698453438175,0.10957780598494694,0.1290548091706427,0.3805013006312184,0.23953201128951554,0.6596809790326422,0.5955632179216079,0.6013896044184367,0.09455471519724977,0.3804605323810393,0.045379651833004755,0.14612713748014175,0.602272708515982,0.6042398239760666,0.6003128958113904,0.018733772931867083,0.023651534558124472,0.011565842570041056,0.6323374024257622,0.5330102353490224,0.43260707657629416,0.453283365743289,0.35360120560984315,0.3298145218997958,0.5080823589528449,0.5138512285965185,0.5212369098378667,0.5294793486989697,0.5298994101082984,-0.08181564843223858,0.19743146577588705,0.28992381920736077,0.1701973320042452,0.19865545506040175,0.024958974545352206,0.32456589924330226,0.37884806912168334,0.34676939459262135,0.22662399513548062,0.3164517126236695,0.14176269452072873,0.18549122228151627,0.23555548703061957,0.3162697661996113,0.12728301093288624,0.17787651579383407,0.12039055351712231,0.3394808498456017,,,,,,,,,0.33695389819665206,0.34422902830734603,0.40262828802184786,0.5252859533470311,-0.1501910231566016,-0.1796347559599078,-0.020741467152842075,0.1415730862786252,0.1031653459572849,0.1844668558005062,
Days with AQI,0.007252771923462335,0.11597863385494256,0.14412307621760434,0.17395417118983872,1.0,0.6748421550270802,0.4368179436646991,0.13609032359930742,0.05227248860613343,0.042897368518501726,0.040074675948545115,0.22851312695953035,0.36138397874762934,0.38513096955362364,0.04898241408299646,0.11712546497704678,0.37193231732743337,0.2650395530605254,0.006454170430575337,0.14602426748515826,0.09740429929423843,0.14616957361226124,0.15163171917585563,0.12522448181551882,0.09819382843558516,-0.010495596727450523,0.027659505667361434,0.04085353772374524,0.15408106886274844,0.10649258728055426,-0.16721933451035612,0.1710376428636763,0.07946172107816243,0.07161246787598556,0.08121000482169419,0.12206068676670713,-0.2026655394397659,0.20050259917950014,0.1016868552701918,0.0581068045236071,0.07258346446377426,0.20317014235767594,0.11324845117428242,0.19911333498024222,0.13935534257919732,0.14169962234079425,0.08832741129758924,0.250259389402727,0.10947135655500041,0.2222126419135126,0.1449687965631402,0.1456090440476456,0.14433739264058074,-0.14729072347358946,-0.1393395573069236,-0.16111722439143655,0.15947454669349442,0.11825481417479601,0.12750990443310986,0.09314562844151707,0.09024699722534228,0.16610382778573635,0.15237345193954654,0.14897977301712467,0.1495406293576208,0.14623496506731126,0.1508425975699034,0.021341109693765792,0.12018420564092912,0.15010711372167349,0.097919494897855,0.18693629743922813,-0.019030143845261745,0.1831257820115867,0.24258580146665268,0.2058894172169452,0.1897714157632517,0.13818982153978537,0.03295437007779208,0.07196441521702004,0.08659194900310667,0.18188868788010404,0.10329851966600669,0.1474574201848139,0.11969127348702227,0.20605111366602644,,,,,,,,,0.17450410688041226,0.21701615528119106,0.21398333393396785,0.14982089615209276,0.012144158578864028,-0.05119287130737224,0.002045169971499191,-0.06823175218598339,0.05891383273521026,0.011153537067921835,
Good Days,0.01479521426149198,-0.27618305015369665,-0.2723070937052051,-0.24533553507428327,0.6748421550270802,1.0,-0.3576928737506061,-0.37746534306873214,-0.22216146111637292,-0.2212812503260091,-0.1506921390699702,-0.20545777121614744,-0.3660951184950588,-0.24965984503518251,0.016014703777996735,0.0014805625171947713,0.27644970401903773,0.1401674701516231,0.050674461621251894,-0.2756867724856103,-0.14093244679949649,-0.28185533390384593,-0.26822658026403806,-0.2813693482143255,-0.12745024516546982,0.061076060361456096,0.017957723129352055,-0.11848533811789744,-0.24255184102756538,-0.051235411010552866,0.06183914787657764,-0.06995946234900943,0.09957393272185343,0.07822236032952674,0.0901749634165239,-0.07491973341438024,0.04921025850819301,-0.07413086216030285,0.08231415103267078,0.11243910526948842,0.12468663379568136,-0.06686730554378013,-0.09615075174305561,-0.2761758554490721,-0.27038127153051356,-0.2692425219328003,0.08504444010598411,0.01431056201043302,0.11865902112766681,0.16751700267520014,-0.27451808176009546,-0.27624484850721037,-0.27283122773840257,0.07988521208596142,0.0833081372965704,0.06965209246869429,-0.28232335067440123,-0.22438951965178233,-0.27964912996312996,-0.20674555684941578,-0.06386977738988318,0.016462000273338113,-0.1788448150599883,-0.18755862875592416,-0.18679723080175845,-0.20032143879248357,-0.19542712402420012,-0.031733991766147746,0.051294733465079526,-0.020055499144348583,-0.0021017366449892585,0.07348990380676995,-0.011002400692170957,-5.4911864636909e-05,0.010836598623457826,0.019683064985958072,0.016155874114054433,-0.048901185472687035,-0.08299184512697855,0.015222534377784827,0.007845502762205372,0.0734511335368814,0.06161965967941989,0.14199351654535658,0.06032587741319083,0.005125570289082463,,,,,,,,,0.017866278395213975,-0.010059530178175844,-0.0350919986994284,-0.19267819288734062,0.16639438322974284,0.14693702014912421,0.1070724079251319,-0.24122739481046662,-0.09252999472334424,-0.2004861329001691,
Moderate Days,-0.01031616484272717,0.44656963511363174,0.47805711496186915,0.5007332351737248,0.4368179436646991,-0.3576928737506061,1.0,0.502038836709248,0.2148063912432586,0.20808624607047974,0.19311054544589298,0.4779164264916008,0.8484399888634457,0.77175167834099,0.03874013081916108,0.13317352218187073,0.12469583698814564,0.17982102019603646,-0.07179521055934479,0.4828282381147919,0.2824728692793073,0.4898212593742728,0.48722069039431565,0.45415664342934625,0.2727021161404672,-0.07253957287924878,0.027567428327026782,0.16071709946827467,0.45968217346900314,0.17804836022091242,-0.26301274599592517,0.2749891659205817,-0.014675147860555567,-0.0030562686613934405,-0.004763302359436932,0.23335983973320387,-0.29535819306857164,0.3233785841068797,0.0373097792519224,-0.061156711144960185,-0.05651203356659101,0.3360111844700063,0.271333269263988,0.5770116628970882,0.4694480875866363,0.47181519498266483,0.008760467329405913,0.2682620876281786,-0.017681827155829687,0.03277640492448911,0.4801565131967148,0.48238219390217607,0.4779648567707168,-0.26380645944255215,-0.2593633097109028,-0.2673963692355354,0.5123673631680249,0.4104107852410426,0.45648618820609915,0.3250792999481137,0.15656116916746712,0.18453140243593502,0.43007048963852684,0.43606299286414524,0.43420749694868027,0.44584181869794975,0.44420022064080256,0.07800356798156684,0.07381162674986094,0.22319252273571596,0.13162344199839326,0.13358465430660024,0.001022986861361328,0.21113257849341058,0.27757693510549786,0.21912616891131026,0.20552085160290218,0.2260113023359291,0.12899395975796288,0.06984104295467927,0.07895843558338826,0.12168250891524321,0.03864231278963392,-0.012865745830880442,0.07413719193281512,0.22193301172530283,,,,,,,,,0.1865639718830846,0.2721328249255814,0.298301556001858,0.4414083709511519,-0.17466074613200427,-0.2227043134430294,-0.1170083361242968,0.2105416705095711,0.16013734032176974,0.2382916940937224,
Unhealthy for Sensitive Groups Days,-0.007022298307245591,0.406879290267244,0.41731513658668223,0.3469861599944876,0.13609032359930742,-0.37746534306873214,0.502038836709248,1.0,0.5956737890449234,0.5805433842243394,0.307754517408841,0.6000401909135037,0.7462966551107341,0.5130927643749627,0.04353820205405043,0.1340046462013647,0.07087760119967045,-0.021961814614620358,0.04991157040088644,0.4274818503377747,0.21147965311491876,0.43670794280230096,0.39764804696675904,0.4655882425174204,0.1884591292711519,-0.11281851948416832,-0.05209766717910795,0.23259430400150455,0.3804725457743957,0.18774901653326265,-0.2414097139343435,0.26616866520021154,-0.05786958785908852,-0.01587930462215024,-0.02263541179144612,0.18093277238430552,-0.2373058627584379,0.2561322587281437,-0.045223892742471614,-0.05254390190079772,-0.059198124699401465,0.19759968784384438,0.09184206918330964,0.3843393978642085,0.4484101100029166,0.446055457467306,-0.010031922422731909,0.26020514766307695,0.026202086342854928,0.20036367988595455,0.4256022452449928,0.42978038921362155,0.4215535838420078,-0.22643360184626676,-0.2172199147868222,-0.23380682674651648,0.4214420890589075,0.2854984066789104,0.4373368065719251,0.38072055970623003,0.23310419256991224,0.09745807772102236,0.12284317186494677,0.12972404842046395,0.1374588089421682,0.1500574474295909,0.15573752502455052,-0.03758269108282798,0.09963040131122339,0.06201723610092053,0.024203458381571973,0.10326105620201714,-0.058023317012513786,0.20283424164600108,0.19795719294715153,0.18051768821804812,0.15274078252078657,0.15564990481696656,0.02350486427215407,0.04280216520151547,0.14337916356800728,0.13178155848176065,0.08957534040733703,0.09737679839852145,0.03538089968836396,0.25836097257382,,,,,,,,,0.13836404856641413,0.18936707899780908,0.21276422039698084,0.14393143090335211,-0.1847474301782653,-0.2373549089810091,-0.1405107338719512,0.13874599192624815,0.2334816306144581,0.25908272004781074,
Unhealthy Days,0.016357871700107815,0.29178574175078126,0.291032067251853,0.1740568511129527,0.05227248860613343,-0.22216146111637292,0.2148063912432586,0.5956737890449234,1.0,0.865141391328471,0.15107950601944384,0.24978044901047838,0.4933386573004203,0.3135094299069085,0.005462732118196544,0.08798123847937353,0.011610037136958443,0.001126732523687651,0.025794390466757265,0.3003368229581242,0.044168664945616457,0.30003556973787804,0.2696520678245208,0.32573662787420704,0.03965290740755834,-0.14030717567924386,-0.14326485823581853,0.27076185972095645,0.25195575205327464,0.0756921455245166,-0.12505760555401985,0.12567775942251355,-0.0419878614312068,-0.05193538676425899,-0.05709748864519446,0.06236127590201161,-0.11752197053303452,0.11153644780637191,-0.04859089637247483,-0.0596593998136942,-0.06683494659006513,0.08481229108404245,0.047136095809462916,0.23645737906928865,0.33655987151029165,0.33195627425194735,-0.03948639786954536,0.16208025842884585,0.010773076346180426,0.14416330870228394,0.300501785591789,0.3049043231042926,0.29625608882592475,-0.10860364165375216,-0.1055425814626783,-0.11074047860516424,0.27615052807816043,0.12573810339009042,0.3309382291845178,0.3165441363320956,0.2264078726383059,0.05520530955125187,0.0022648109946319136,0.0033292623975643746,0.007974625637580689,0.010182092011602993,0.015601582667266845,0.0031029078293666993,0.05750482027836026,-0.021113542481671115,0.0126634329794973,0.06827661628690515,-0.03460611591067123,0.08531995764836267,0.08818658916510339,0.08135598169228697,0.09151393276504005,0.04766858759799706,0.0009184427613653562,0.013441480512519878,0.08202760061919377,0.07817386771367839,0.05641226113233922,0.0785248961140063,0.019816300558024705,0.14288423313995804,,,,,,,,,0.06772676353873439,0.0935965362375203,0.09275400453953787,0.00958709001961716,-0.059289141648995076,-0.11076398190464753,-0.040147639528770866,0.012614104561181696,0.11012293081935204,0.09445457635679332,
Very Unhealthy Days,0.046641196154982106,0.20225717365824536,0.1972999099283015,0.1606197718755159,0.042897368518501726,-0.2212812503260091,0.20808624607047974,0.5805433842243394,0.865141391328471,1.0,0.3751850151339158,0.4125534941162313,0.4513423035139183,0.32318799598387343,-0.010418974515968297,0.044566484849365415,0.032167170685215934,-0.03869850128455742,0.06316582696374355,0.21461142149351592,0.23584517129056518,0.22384157888907227,0.19448395858056747,0.25406428465936215,0.03248422635607344,0.07228437474037802,0.09513181005944639,0.23018841714431262,0.17150501531111617,0.0787077124613355,-0.10929331193749459,0.11694169386925261,-0.04103229595315426,0.010015931870499688,0.005362475425940738,0.0684568758131191,-0.10353498436365574,0.10585799023816864,-0.036936508202216306,-0.0003497011162730611,-0.005440323963394162,0.06469864920957062,0.03803964336815,0.207766039998113,0.22315238089456532,0.22045868130163448,-0.0024250253061301875,0.10671232729414079,0.010414672188531331,0.10979323299379644,0.21169938496447593,0.21575475064611255,0.20779747038771135,-0.1133678078847687,-0.11009268487980467,-0.11445190070178901,0.21270418960890458,0.08518054401827946,0.3458876093451898,0.15336288719535954,0.15350296912229475,0.005306481087780869,-0.014997744289945228,-0.015238353036727463,-0.011291087066243592,-0.009943710863710993,-0.00603952740868491,-0.02026664338241303,0.01522613920132194,-0.028887119860698997,-0.0043165841001544586,0.02476957903253385,-0.06705237778017113,0.020818406751856307,0.03255242208245689,0.026811859372973437,0.05455428660091055,0.013852142072157595,-0.03979799277222307,-0.027948588281983683,0.017762057722453307,0.024509393568805687,0.03944979071886461,0.03902658805578355,-0.002365587698116868,0.08754867190706807,,,,,,,,,0.010729325632823316,0.05063273765195881,0.04318159564094676,-0.010363657083740449,-0.05435426148770116,-0.08765321516622138,-0.027253310714911893,0.016455389926583453,0.08655749370670525,0.07767703468448252,
